9,0001-01-01 00:00:05.375,OF,5375031,241,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,0001-01-01 00:00:05.379,OF,5379972,245,0,0,-0.0006868515,-0.001071754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,0001-01-01 00:00:05.390,OF,5390019,245,0,0,-0.0002324549,-0.0005162186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,0001-01-01 00:00:05.405,OF,5405038,245,0,0,-9.080959E-05,0.0001265486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,0001-01-01 00:00:05.415,OF,5415105,245,0,0,-0.001129657,-0.0001032492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,0001-01-01 00:00:05.430,OF,5430045,245,0,0,-0.0006090524,-0.0002877519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,0001-01-01 00:00:05.440,OF,5440029,245,0,0,4.587196E-05,-0.0003706479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,0001-01-01 00:00:05.450,OF,5450020,245,0.010007,0,-0.0003618078,-0.0003481517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,0001-01-01 00:00:05.465,OF,5465027,245,0,0,-0.0004883251,5.833063E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0001-01-01 00:00:05.474,OF,5474998,245,0,0,-0.0009850576,-4.204074E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,0001-01-01 00:00:05.490,OF,5490064,245,0,0,-0.0005346585,-0.0006229615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,0001-01-01 00:00:05.500,OF,5500034,245,0,0,0.0002178276,-0.0003799655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,0001-01-01 00:00:05.515,OF,5515034,245,0,0,0.0001754655,0.0002198945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,0001-01-01 00:00:05.525,OF,5525043,245,0,0,-0.0008936707,0.0001986963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,0001-01-01 00:00:05.539,OF,5539993,245,0,0,-0.0008622415,-7.789824E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,0001-01-01 00:00:05.550,OF,5550060,245,0,0,-0.0006658577,-0.00137253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,0001-01-01 00:00:05.564,OF,5564988,245,0,0,-0.0003132082,-0.00142983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,0001-01-01 00:00:05.575,OF,5575051,245,0,0,-9.381998E-06,-0.0003892229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,0001-01-01 00:00:05.589,OF,5589984,245,-0.012565,0,-0.0003124137,0.0007764854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,0001-01-01 00:00:05.599,OF,5599972,245,0,0,-0.0004276573,0.0002242103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,0001-01-01 00:00:05.615,OF,5615022,245,0,0,-0.0002777773,-0.0006775141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
